"No.","Time","Source","Destination","Protocol","Length","Info"
"13","0.080042","2.2.1","host","USB","35","URB_INTERRUPT in"
"14","0.080202","host","2.2.1","USB","27","URB_INTERRUPT in"
"755","7.024125","2.2.1","host","USB","35","URB_INTERRUPT in"
"756","7.024143","host","2.2.1","USB","27","URB_INTERRUPT in"
"857","7.424087","2.2.1","host","USB","35","URB_INTERRUPT in"
"858","7.424107","host","2.2.1","USB","27","URB_INTERRUPT in"
"877","7.496134","2.2.1","host","USB","35","URB_INTERRUPT in"
"878","7.496154","host","2.2.1","USB","27","URB_INTERRUPT in"
"891","7.544130","2.2.1","host","USB","35","URB_INTERRUPT in"
"892","7.544148","host","2.2.1","USB","27","URB_INTERRUPT in"
"913","7.624095","2.2.1","host","USB","35","URB_INTERRUPT in"
"914","7.624113","host","2.2.1","USB","27","URB_INTERRUPT in"
"985","7.904133","2.2.1","host","USB","35","URB_INTERRUPT in"
"986","7.904150","host","2.2.1","USB","27","URB_INTERRUPT in"
"1021","8.040092","2.2.1","host","USB","35","URB_INTERRUPT in"
"1022","8.040112","host","2.2.1","USB","27","URB_INTERRUPT in"
"1215","8.816172","2.2.1","host","USB","35","URB_INTERRUPT in"
"1216","8.816200","host","2.2.1","USB","27","URB_INTERRUPT in"
"1253","8.960182","2.2.1","host","USB","35","URB_INTERRUPT in"
"1254","8.960203","host","2.2.1","USB","27","URB_INTERRUPT in"
"1385","9.544209","2.2.1","host","USB","35","URB_INTERRUPT in"
"1386","9.544243","host","2.2.1","USB","27","URB_INTERRUPT in"
"1557","10.520175","2.2.1","host","USB","35","URB_INTERRUPT in"
"1558","10.520202","host","2.2.1","USB","27","URB_INTERRUPT in"
"1581","10.608082","2.2.1","host","USB","35","URB_INTERRUPT in"
"1582","10.608104","host","2.2.1","USB","27","URB_INTERRUPT in"
"1717","11.168171","2.2.1","host","USB","35","URB_INTERRUPT in"
"1718","11.168199","host","2.2.1","USB","27","URB_INTERRUPT in"
"1741","11.256121","2.2.1","host","USB","35","URB_INTERRUPT in"
"1742","11.256152","host","2.2.1","USB","27","URB_INTERRUPT in"
"1819","11.560175","2.2.1","host","USB","35","URB_INTERRUPT in"
"1820","11.560195","host","2.2.1","USB","27","URB_INTERRUPT in"
"1841","11.640135","2.2.1","host","USB","35","URB_INTERRUPT in"
"1842","11.640156","host","2.2.1","USB","27","URB_INTERRUPT in"
"1927","12.096172","2.2.1","host","USB","35","URB_INTERRUPT in"
"1928","12.096200","host","2.2.1","USB","27","URB_INTERRUPT in"
"1935","12.176025","2.2.1","host","USB","35","URB_INTERRUPT in"
"1936","12.176188","host","2.2.1","USB","27","URB_INTERRUPT in"
"2005","12.648159","2.2.1","host","USB","35","URB_INTERRUPT in"
"2006","12.648188","host","2.2.1","USB","27","URB_INTERRUPT in"
"2029","12.736084","2.2.1","host","USB","35","URB_INTERRUPT in"
"2030","12.736100","host","2.2.1","USB","27","URB_INTERRUPT in"
"2057","12.856113","2.2.1","host","USB","35","URB_INTERRUPT in"
"2058","12.856130","host","2.2.1","USB","27","URB_INTERRUPT in"
"2075","12.920126","2.2.1","host","USB","35","URB_INTERRUPT in"
"2076","12.920142","host","2.2.1","USB","27","URB_INTERRUPT in"
"2167","13.288137","2.2.1","host","USB","35","URB_INTERRUPT in"
"2168","13.288156","host","2.2.1","USB","27","URB_INTERRUPT in"
"2193","13.384122","2.2.1","host","USB","35","URB_INTERRUPT in"
"2194","13.384156","host","2.2.1","USB","27","URB_INTERRUPT in"
"2283","13.784071","2.2.1","host","USB","35","URB_INTERRUPT in"
"2284","13.784099","host","2.2.1","USB","27","URB_INTERRUPT in"
"2329","14.296021","2.2.1","host","USB","35","URB_INTERRUPT in"
"2330","14.296130","host","2.2.1","USB","27","URB_INTERRUPT in"
"2331","14.392029","2.2.1","host","USB","35","URB_INTERRUPT in"
"2332","14.392145","host","2.2.1","USB","27","URB_INTERRUPT in"
"2333","14.752023","2.2.1","host","USB","35","URB_INTERRUPT in"
"2334","14.752186","host","2.2.1","USB","27","URB_INTERRUPT in"
"2335","15.264022","2.2.1","host","USB","35","URB_INTERRUPT in"
"2336","15.264201","host","2.2.1","USB","27","URB_INTERRUPT in"
"2337","15.351995","2.2.1","host","USB","35","URB_INTERRUPT in"
"2338","15.352155","host","2.2.1","USB","27","URB_INTERRUPT in"
"2441","15.792173","2.2.1","host","USB","35","URB_INTERRUPT in"
"2442","15.792205","host","2.2.1","USB","27","URB_INTERRUPT in"
"2461","15.864110","2.2.1","host","USB","35","URB_INTERRUPT in"
"2462","15.864129","host","2.2.1","USB","27","URB_INTERRUPT in"
"2637","16.560171","2.2.1","host","USB","35","URB_INTERRUPT in"
"2638","16.560198","host","2.2.1","USB","27","URB_INTERRUPT in"
"2659","16.640169","2.2.1","host","USB","35","URB_INTERRUPT in"
"2660","16.640208","host","2.2.1","USB","27","URB_INTERRUPT in"
"2753","17.008114","2.2.1","host","USB","35","URB_INTERRUPT in"
"2754","17.008129","host","2.2.1","USB","27","URB_INTERRUPT in"
"2771","17.072123","2.2.1","host","USB","35","URB_INTERRUPT in"
"2772","17.072138","host","2.2.1","USB","27","URB_INTERRUPT in"
"2885","17.560085","2.2.1","host","USB","35","URB_INTERRUPT in"
"2886","17.560103","host","2.2.1","USB","27","URB_INTERRUPT in"
"2903","17.624111","2.2.1","host","USB","35","URB_INTERRUPT in"
"2904","17.624125","host","2.2.1","USB","27","URB_INTERRUPT in"
"3037","18.192176","2.2.1","host","USB","35","URB_INTERRUPT in"
"3038","18.192205","host","2.2.1","USB","27","URB_INTERRUPT in"
"3063","18.288160","2.2.1","host","USB","35","URB_INTERRUPT in"
"3064","18.288188","host","2.2.1","USB","27","URB_INTERRUPT in"
"3137","18.576168","2.2.1","host","USB","35","URB_INTERRUPT in"
"3138","18.576196","host","2.2.1","USB","27","URB_INTERRUPT in"
"3157","18.648113","2.2.1","host","USB","35","URB_INTERRUPT in"
"3158","18.648130","host","2.2.1","USB","27","URB_INTERRUPT in"
"3215","18.872163","2.2.1","host","USB","35","URB_INTERRUPT in"
"3216","18.872193","host","2.2.1","USB","27","URB_INTERRUPT in"
"3237","18.952075","2.2.1","host","USB","35","URB_INTERRUPT in"
"3238","18.952089","host","2.2.1","USB","27","URB_INTERRUPT in"
"3547","20.184120","2.2.1","host","USB","35","URB_INTERRUPT in"
"3548","20.184145","host","2.2.1","USB","27","URB_INTERRUPT in"
"3641","20.552093","2.2.1","host","USB","35","URB_INTERRUPT in"
"3642","20.552110","host","2.2.1","USB","27","URB_INTERRUPT in"
"3647","20.568094","2.2.1","host","USB","35","URB_INTERRUPT in"
"3648","20.568111","host","2.2.1","USB","27","URB_INTERRUPT in"
"3835","21.336155","2.2.1","host","USB","35","URB_INTERRUPT in"
"3836","21.336187","host","2.2.1","USB","27","URB_INTERRUPT in"
"3941","21.752164","2.2.1","host","USB","35","URB_INTERRUPT in"
"3942","21.752193","host","2.2.1","USB","27","URB_INTERRUPT in"
"3953","21.800167","2.2.1","host","USB","35","URB_INTERRUPT in"
"3954","21.800194","host","2.2.1","USB","27","URB_INTERRUPT in"
"4003","21.992162","2.2.1","host","USB","35","URB_INTERRUPT in"
"4004","21.992190","host","2.2.1","USB","27","URB_INTERRUPT in"
"4025","22.072159","2.2.1","host","USB","35","URB_INTERRUPT in"
"4026","22.072187","host","2.2.1","USB","27","URB_INTERRUPT in"
"4045","22.144163","2.2.1","host","USB","35","URB_INTERRUPT in"
"4046","22.144224","host","2.2.1","USB","27","URB_INTERRUPT in"
"4063","22.208134","2.2.1","host","USB","35","URB_INTERRUPT in"
"4064","22.208153","host","2.2.1","USB","27","URB_INTERRUPT in"
"4099","22.344121","2.2.1","host","USB","35","URB_INTERRUPT in"
"4100","22.344139","host","2.2.1","USB","27","URB_INTERRUPT in"
"4115","22.400125","2.2.1","host","USB","35","URB_INTERRUPT in"
"4116","22.400142","host","2.2.1","USB","27","URB_INTERRUPT in"
"4199","22.904156","2.2.1","host","USB","35","URB_INTERRUPT in"
"4200","22.904178","host","2.2.1","USB","27","URB_INTERRUPT in"
"4557","24.448155","2.2.1","host","USB","35","URB_INTERRUPT in"
"4558","24.448182","host","2.2.1","USB","27","URB_INTERRUPT in"
"4575","24.512161","2.2.1","host","USB","35","URB_INTERRUPT in"
"4576","24.512188","host","2.2.1","USB","27","URB_INTERRUPT in"
"4641","24.808162","2.2.1","host","USB","35","URB_INTERRUPT in"
"4642","24.808193","host","2.2.1","USB","27","URB_INTERRUPT in"
"4703","25.200181","2.2.1","host","USB","35","URB_INTERRUPT in"
"4704","25.200208","host","2.2.1","USB","27","URB_INTERRUPT in"
"4727","25.288163","2.2.1","host","USB","35","URB_INTERRUPT in"
"4728","25.288190","host","2.2.1","USB","27","URB_INTERRUPT in"
"4747","25.376013","2.2.1","host","USB","35","URB_INTERRUPT in"
"4748","25.376163","host","2.2.1","USB","27","URB_INTERRUPT in"
"4763","25.456091","2.2.1","host","USB","35","URB_INTERRUPT in"
"4764","25.456110","host","2.2.1","USB","27","URB_INTERRUPT in"
"4779","25.512103","2.2.1","host","USB","35","URB_INTERRUPT in"
"4780","25.512114","host","2.2.1","USB","27","URB_INTERRUPT in"
"4799","25.584166","2.2.1","host","USB","35","URB_INTERRUPT in"
"4800","25.584199","host","2.2.1","USB","27","URB_INTERRUPT in"
"5339","28.120166","2.2.1","host","USB","35","URB_INTERRUPT in"
"5340","28.120195","host","2.2.1","USB","27","URB_INTERRUPT in"
"5357","28.184167","2.2.1","host","USB","35","URB_INTERRUPT in"
"5358","28.184206","host","2.2.1","USB","27","URB_INTERRUPT in"
"5595","29.128161","2.2.1","host","USB","35","URB_INTERRUPT in"
"5596","29.128188","host","2.2.1","USB","27","URB_INTERRUPT in"
"5615","29.200146","2.2.1","host","USB","35","URB_INTERRUPT in"
"5616","29.200172","host","2.2.1","USB","27","URB_INTERRUPT in"
"5693","29.576152","2.2.1","host","USB","35","URB_INTERRUPT in"
"5694","29.576181","host","2.2.1","USB","27","URB_INTERRUPT in"
"5743","29.816146","2.2.1","host","USB","35","URB_INTERRUPT in"
"5744","29.816174","host","2.2.1","USB","27","URB_INTERRUPT in"
"5763","29.888126","2.2.1","host","USB","35","URB_INTERRUPT in"
"5764","29.888145","host","2.2.1","USB","27","URB_INTERRUPT in"
"5807","30.112154","2.2.1","host","USB","35","URB_INTERRUPT in"
"5808","30.112180","host","2.2.1","USB","27","URB_INTERRUPT in"
"6197","32.200032","2.2.1","host","USB","35","URB_INTERRUPT in"
"6198","32.200191","host","2.2.1","USB","27","URB_INTERRUPT in"
"6199","32.256008","2.2.1","host","USB","35","URB_INTERRUPT in"
"6200","32.256164","host","2.2.1","USB","27","URB_INTERRUPT in"
